sample_id,cluster_id,source,source_record_id,provenance_class,state,district,latitude,longitude,date,rainfall_24h,rainfall_72h,slope,elevation,aspect,soil_moisture,seismic,label
NER-NEG-003,CLUSTER_SOHRA,OPEN_METEO_HISTORICAL_ARCHIVE,CONTROL-ML-SOHRA-20220120,SOURCE_DERIVED,Meghalaya,East Khasi Hills,25.298,91.702,2022-01-20,0.0,0.0,35.0,1200,180,0.12,0.2,0
NER-NEG-004,CLUSTER_NONEY,OPEN_METEO_HISTORICAL_ARCHIVE,CONTROL-MN-NONEY-20220105,SOURCE_DERIVED,Manipur,Noney,24.819,93.639,2022-01-05,0.0,0.0,35.0,1200,180,0.12,0.2,0
NER-NEG-005,CLUSTER_LUNGLEI,OPEN_METEO_HISTORICAL_ARCHIVE,CONTROL-MZ-LUNGLEI-20200125,SOURCE_DERIVED,Mizoram,Lunglei,22.889,92.738,2020-01-25,0.0,0.0,35.0,1200,180,0.12,0.2,0
NER-NEG-006,CLUSTER_KOHIMA,OPEN_METEO_HISTORICAL_ARCHIVE,CONTROL-NL-KOHIMA-20210218,SOURCE_DERIVED,Nagaland,Kohima,25.675,94.108,2021-02-18,0.0,1.2,35.0,1200,180,0.12,0.2,0
NER-NEG-007,CLUSTER_HAFLONG,OPEN_METEO_HISTORICAL_ARCHIVE,CONTROL-AS-HAFLONG-20220110,SOURCE_DERIVED,Assam,Dima Hasao,25.176,93.023,2022-01-10,0.0,0.0,35.0,1200,180,0.12,0.2,0
NER-NEG-008,CLUSTER_DHARMANAGAR,OPEN_METEO_HISTORICAL_ARCHIVE,CONTROL-TR-DHARMANAGAR-20220118,SOURCE_DERIVED,Tripura,North Tripura,24.215,92.158,2022-01-18,0.0,0.0,35.0,1200,180,0.12,0.2,0
NER-NEG-009,CLUSTER_DZONGU,OPEN_METEO_HISTORICAL_ARCHIVE,CONTROL-SK-DZONGU-20231215,SOURCE_DERIVED,Sikkim,Mangan (North Sikkim),27.685,88.652,2023-12-15,1.0,2.5,35.0,1750,180,0.12,0.2,0
NER-NEG-010,CLUSTER_DAPORIJO,OPEN_METEO_HISTORICAL_ARCHIVE,CONTROL-AR-DAPO-20230108,SOURCE_DERIVED,Arunachal Pradesh,Upper Subansiri,27.812,94.135,2023-01-08,0.2,0.5,35.0,2650,180,0.12,0.2,0
NER-NEG-011,CLUSTER_SONAPUR,OPEN_METEO_HISTORICAL_ARCHIVE,CONTROL-ML-SONAPUR-20230202,SOURCE_DERIVED,Meghalaya,West Jaintia Hills,25.441,92.205,2023-02-02,0.0,0.0,35.0,1200,180,0.12,0.2,0
NER-NEG-012,CLUSTER_AMBASSA,OPEN_METEO_HISTORICAL_ARCHIVE,CONTROL-TR-AMBASSA-20230130,SOURCE_DERIVED,Tripura,Dhalai,23.856,91.884,2023-01-30,0.0,0.0,35.0,1200,180,0.12,0.2,0
